ID,Posting ID,First Name,Last Name,Status,Units,Grade Basis,Program and Plan,Academic Level,ASURITE,Residency,Zoom Email
10000101,2025FA-101,Aria,Smith,Enrolled,15,Letter,W. P. Carey School of Business - Marketing (Professional Sales),Undergraduate,asmith21,Resident,aria.smith@asu.edu
10000102,2025FA-101,Ben,Ortiz,Enrolled,12,Letter,Ira A Fulton Engineering - Computer Science (Sftwre Engr),Undergraduate,bortiz9,Resident,ben.ortiz@asu.edu
10000103,2025FA-101,Chloe,Ng,Enrolled,16,Letter,Ira A Fulton Engineering - Computer Science - BS,Undergraduate,cng12,Non-Resident,chloe.ng@asu.edu
10000104,2025FA-102,Diego,Park,Waitlisted,9,Pass/Fail,Ira A Fulton Engineering - Engineering Management,Undergraduate,dpark7,Resident,diego.park@asu.edu
10000105,2025FA-102,Elena,Li,Enrolled,9,Letter,Ira A Fulton Engineering - Computer Sci (Cybersecurity),Undergraduate,eli33,Resident,elena.li@asu.edu
10000106,2025FA-103,Farid,Khan,Enrolled,6,Letter,Ira A Fulton Engineering - Computer Science (Cybersec),Undergraduate,fkhan8,Resident,farid.khan@asu.edu
10000107,2025FA-103,Gavin,O'Neal,Enrolled,15,Letter,Ira A Fulton Engineering - Computer Systems Engineering,Undergraduate,goneal3,Resident,gavin.oneal@asu.edu
10000108,2025FA-104,Hana,Liu,Enrolled,12,Letter,W. P. Carey School of Business - Business (Financial Planning),Undergraduate,hliu29,Resident,hana.liu@asu.edu


